; >>> EKBI - Billund <<<
;
; RWY External lines
N055.44.24.454 E009.09.07.912 N055.44.27.494 E009.10.45.711 COLOR_TaxiwayBorder ; TWY C - THRS RWY 27
N055.44.22.570 E009.08.07.260 N055.44.22.509 E009.08.05.314 COLOR_TaxiwayBorder ; TWY A - THRS RWY 09
;
;
N055.44.23.676 E009.07.56.590 N055.44.26.024 E009.07.56.360 COLOR_TaxiwayBorder ; North Term
N055.44.26.024 E009.07.56.360 N055.44.26.876 E009.07.56.415 COLOR_TaxiwayBorder ; North Term
N055.44.26.876 E009.07.56.415 N055.44.27.892 E009.07.56.710 COLOR_TaxiwayBorder ; North Term
N055.44.27.892 E009.07.56.710 N055.44.29.046 E009.07.57.424 COLOR_TaxiwayBorder ; North Term
N055.44.29.046 E009.07.57.424 N055.44.30.021 E009.07.58.420 COLOR_TaxiwayBorder ; North Term
N055.44.30.021 E009.07.58.420 N055.44.30.899 E009.07.59.851 COLOR_TaxiwayBorder ; North Term
N055.44.30.899 E009.07.59.851 N055.44.31.545 E009.08.01.300 COLOR_TaxiwayBorder ; North Term
N055.44.31.545 E009.08.01.300 N055.44.32.122 E009.08.03.185 COLOR_TaxiwayBorder ; North Term
N055.44.32.122 E009.08.03.185 N055.44.32.438 E009.08.05.070 COLOR_TaxiwayBorder ; North Term
N055.44.32.438 E009.08.05.070 N055.44.32.589 E009.08.07.161 COLOR_TaxiwayBorder ; North Term
N055.44.32.589 E009.08.07.161 N055.44.32.657 E009.08.09.633 COLOR_TaxiwayBorder ; North Term
N055.44.32.657 E009.08.09.633 N055.44.33.234 E009.08.28.018 COLOR_TaxiwayBorder ; North Term
N055.44.33.234 E009.08.28.018 N055.44.33.454 E009.08.31.046 COLOR_TaxiwayBorder ; North Term
N055.44.33.454 E009.08.31.046 N055.44.33.687 E009.08.32.388 COLOR_TaxiwayBorder ; North Term
N055.44.33.687 E009.08.32.388 N055.44.33.934 E009.08.32.996 COLOR_TaxiwayBorder ; North Term
N055.44.33.934 E009.08.32.996 N055.44.34.346 E009.08.33.288 COLOR_TaxiwayBorder ; North Term
N055.44.34.346 E009.08.33.288 N055.44.34.539 E009.08.33.339 COLOR_TaxiwayBorder ; North Term
N055.44.34.539 E009.08.33.339 N055.44.34.813 E009.08.33.167 COLOR_TaxiwayBorder ; North Term
N055.44.34.813 E009.08.33.167 N055.44.35.912 E009.08.31.581 COLOR_TaxiwayBorder ; North Term
N055.44.35.912 E009.08.31.581 N055.44.36.544 E009.08.31.502 COLOR_TaxiwayBorder ; North Term
N055.44.36.544 E009.08.31.502 N055.44.38.247 E009.08.33.449 COLOR_TaxiwayBorder ; North Term
N055.44.38.247 E009.08.33.449 N055.44.38.590 E009.08.33.500 COLOR_TaxiwayBorder ; North Term
