; >>> EKAH - aarhus <<<
;
N056.18.04.858 E010.38.26.105 N056.18.03.595 E010.38.38.812 COLOR_TaxiwayBorder ; THRS RWY 28L
N056.18.03.595 E010.38.38.812 N056.18.02.167 E010.38.38.345 COLOR_TaxiwayBorder ; THRS RWY 28L
N056.18.02.167 E010.38.38.345 N056.18.03.457 E010.38.25.635 COLOR_TaxiwayBorder ; THRS RWY 28L
;
;
N056.18.20.514 E010.35.51.363 N056.18.22.162 E010.35.34.997 COLOR_TaxiwayBorder ; THRS RWY 10R
N056.18.22.162 E010.35.34.997 N056.18.20.720 E010.35.34.509 COLOR_TaxiwayBorder ; THRS RWY 10R
N056.18.20.720 E010.35.34.509 N056.18.19.072 E010.35.50.923 COLOR_TaxiwayBorder ; THRS RWY 10R
;
;
N056.18.23.428 E010.36.28.652 N056.18.18.491 E010.37.17.534 COLOR_TaxiwayBorder ; MIL NW Apron
N056.18.15.303 E010.37.49.091 N056.18.11.070 E010.38.31.010 COLOR_TaxiwayBorder ; THRS RWY 28R NE
N056.18.11.070 E010.38.31.010 N056.18.10.387 E010.38.30.780 COLOR_TaxiwayBorder ; THRS RWY 28R SE
;
N056.18.03.542 E010.38.24.790 N056.18.03.457 E010.38.25.635 COLOR_TaxiwayBorder ; Mil SE - THRS 28L
;
N056.18.18.491 E010.37.17.534 N056.18.18.509 E010.37.18.014 COLOR_TaxiwayBorder ; Apron
N056.18.18.509 E010.37.18.014 N056.18.18.536 E010.37.18.302 COLOR_TaxiwayBorder ; Apron
N056.18.18.536 E010.37.18.302 N056.18.18.591 E010.37.18.546 COLOR_TaxiwayBorder ; Apron
N056.18.18.591 E010.37.18.546 N056.18.18.701 E010.37.18.814 COLOR_TaxiwayBorder ; Apron
N056.18.18.701 E010.37.18.814 N056.18.23.027 E010.37.25.478 COLOR_TaxiwayBorder ; Apron
N056.18.23.027 E010.37.25.478 N056.18.23.343 E010.37.25.818 COLOR_TaxiwayBorder ; Apron
