;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
; 04L
N055.35.32.391 E012.36.11.797 N055.35.31.457 E012.36.13.693 COLOR_TaxiwayBorder ; RWY 04L left - right
N055.35.31.457 E012.36.13.693 N055.36.13.068 E012.37.18.031 COLOR_TaxiwayBorder ; 04L - E4
;
; 04R
N055.36.11.653 E012.37.58.001 N055.36.10.678 E012.37.59.944 COLOR_TaxiwayBorder ; RWY 04R  left - right
N055.36.10.678 E012.37.59.944 N055.36.42.099 E012.38.48.490 COLOR_TaxiwayBorder ; 04R - C
;
; 30
N055.36.55.956 E012.39.42.083 N055.36.44.461 E012.40.13.184 COLOR_TaxiwayBorder ; N1 - 30
N055.36.44.461 E012.40.13.184 N055.36.45.738 E012.40.14.547 COLOR_TaxiwayBorder ; RWY 30
;
; 22L
N055.37.31.208 E012.40.04.598 N055.37.17.921 E012.39.44.030 COLOR_TaxiwayBorder ; I - 22L
N055.37.31.208 E012.40.04.598 N055.37.32.169 E012.40.02.668 COLOR_TaxiwayBorder ; RWY 22L right-left
N055.37.32.169 E012.40.02.668 N055.37.31.944 E012.40.02.320 COLOR_TaxiwayBorder ; 22L - V1
N055.36.50.586 E012.38.58.323 N055.36.52.138 E012.39.00.647 COLOR_TaxiwayBorder ; 22L - C - B5
N055.36.59.226 E012.38.26.049 N055.36.58.268 E012.38.27.983 COLOR_TaxiwayBorder ; 22R start
;
N055.36.44.419 E012.38.03.184 N055.36.43.479 E012.38.05.051 COLOR_TaxiwayBorder ; 22R backtrack
N055.37.27.640 E012.38.21.337 N055.37.26.414 E012.38.19.928 COLOR_TaxiwayBorder ; 12 backtrack
N055.36.50.069 E012.40.02.874 N055.36.48.803 E012.40.01.433 COLOR_TaxiwayBorder ; 30 backtrack
;
;
N055.37.20.263 E012.38.36.549 N055.37.19.343 E012.38.35.818 COLOR_TaxiwayBorder ; A (outer)
N055.37.19.343 E012.38.35.818 N055.37.18.148 E012.38.34.898 COLOR_TaxiwayBorder ; A (outer)
N055.37.18.148 E012.38.34.898 N055.37.17.036 E012.38.33.936 COLOR_TaxiwayBorder ; A (outer)
N055.37.17.036 E012.38.33.936 N055.37.16.019 E012.38.32.810 COLOR_TaxiwayBorder ; A (outer)
N055.37.16.019 E012.38.32.810 N055.37.15.237 E012.38.31.574 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.237 E012.38.31.574 N055.37.15.195 E012.38.31.248 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.195 E012.38.31.248 N055.37.15.250 E012.38.30.575 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.250 E012.38.30.575 N055.37.15.443 E012.38.28.835 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.443 E012.38.28.835 N055.37.15.649 E012.38.28.035 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.649 E012.38.28.035 N055.37.15.896 E012.38.27.376 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.896 E012.38.27.376 N055.37.16.006 E012.38.26.902 COLOR_TaxiwayBorder ; A (outer)
N055.37.16.006 E012.38.26.902 N055.37.16.102 E012.38.26.308 COLOR_TaxiwayBorder ; A (outer)
N055.37.16.102 E012.38.26.308 N055.37.16.102 E012.38.25.556 COLOR_TaxiwayBorder ; A (outer)
N055.37.16.102 E012.38.25.556 N055.37.15.992 E012.38.24.828 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.992 E012.38.24.828 N055.37.15.662 E012.38.23.960 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.662 E012.38.23.960 N055.37.15.209 E012.38.23.393 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.209 E012.38.23.393 N055.37.15.456 E012.38.22.614 COLOR_TaxiwayBorder ; A (outer)
N055.37.15.456 E012.38.22.614 N055.37.12.875 E012.38.19.603 COLOR_TaxiwayBorder ; A (outer)
N055.37.12.875 E012.38.19.603 N055.37.12.586 E012.38.20.368 COLOR_TaxiwayBorder ; A (outer)
N055.37.12.586 E012.38.20.368 N055.37.12.229 E012.38.19.953 COLOR_TaxiwayBorder ; A (outer)
N055.37.12.229 E012.38.19.953 N055.37.11.900 E012.38.19.757 COLOR_TaxiwayBorder ; A (outer)
N055.37.11.900 E012.38.19.757 N055.37.11.570 E012.38.19.689 COLOR_TaxiwayBorder ; A (outer)
N055.37.11.570 E012.38.19.689 N055.37.11.199 E012.38.19.723 COLOR_TaxiwayBorder ; A (outer)
N055.37.11.199 E012.38.19.723 N055.37.10.883 E012.38.19.925 COLOR_TaxiwayBorder ; A (outer)
N055.37.10.883 E012.38.19.925 N055.37.10.361 E012.38.20.568 COLOR_TaxiwayBorder ; A (outer)
N055.37.10.361 E012.38.20.568 N055.37.10.114 E012.38.21.182 COLOR_TaxiwayBorder ; A (outer)
N055.37.10.114 E012.38.21.182 N055.37.09.949 E012.38.21.625 COLOR_TaxiwayBorder ; A (outer)
N055.37.09.949 E012.38.21.625 N055.37.09.510 E012.38.22.566 COLOR_TaxiwayBorder ; A (outer)
N055.37.09.510 E012.38.22.566 N055.37.08.768 E012.38.23.901 COLOR_TaxiwayBorder ; A (outer)
N055.37.08.768 E012.38.23.901 N055.37.08.453 E012.38.24.433 COLOR_TaxiwayBorder ; A (outer)
N055.37.08.453 E012.38.24.433 N055.37.08.054 E012.38.24.917 COLOR_TaxiwayBorder ; A (outer)
