; >>> EKEB - Esbjerg <<<
N055.31.25.363 E008.32.02.827 N055.31.30.333 E008.32.50.145 COLOR_TaxiwayBorder ; RWY08 South - COLOR_ApronSurface
N055.31.35.114 E008.33.35.672 N055.31.40.236 E008.34.24.440 COLOR_TaxiwayBorder ; RWY 08-26 South
;N055.31.25.363 E008.32.02.827 N055.31.26.750 E008.32.02.353 COLOR_TaxiwayBorder ; RWY08 West
N055.31.26.750 E008.32.02.353 N055.31.41.664 E008.34.23.994 COLOR_TaxiwayBorder ; RWY 08-26 North
;
;
N055.31.26.750 E008.32.02.353 N055.31.26.517 E008.32.00.132 COLOR_TaxiwayBorder ; RWY 08 THRS N
N055.31.26.517 E008.32.00.132 N055.31.25.116 E008.32.00.585 COLOR_TaxiwayBorder ; RWY 08 THRS W
N055.31.25.116 E008.32.00.585 N055.31.25.363 E008.32.02.827 COLOR_TaxiwayBorder ; RWY 08 THRS S
;N055.31.25.363 E008.32.02.847 N055.31.26.737 E008.32.02.353 COLOR_TaxiwayBorder ; RWY 08 THRS E
;
;
N055.31.41.664 E008.34.23.994 N055.31.41.884 E008.34.26.102 COLOR_TaxiwayBorder ; RWY 26 THRS N
N055.31.41.884 E008.34.26.102 N055.31.40.469 E008.34.26.535 COLOR_TaxiwayBorder ; RWY 26 THRS E
N055.31.40.469 E008.34.26.535 N055.31.40.236 E008.34.24.440 COLOR_TaxiwayBorder ; RWY 26 THRS S
;N055.31.40.236 E008.34.24.440 N055.31.41.651 E008.34.23.994 COLOR_TaxiwayBorder ; RWY 26 THRS W
;
;
N055.31.34.821 E008.33.32.880 N055.31.34.757 E008.33.33.193 COLOR_TaxiwayBorder ; Inner island East
N055.31.34.757 E008.33.33.193 N055.31.34.578 E008.33.33.227 COLOR_TaxiwayBorder ; Inner island
N055.31.34.578 E008.33.33.227 N055.31.27.341 E008.33.24.448 COLOR_TaxiwayBorder ; Inner island
N055.31.27.341 E008.33.24.448 N055.31.27.149 E008.33.24.218 COLOR_TaxiwayBorder ; Inner island
N055.31.27.149 E008.33.24.218 N055.31.26.984 E008.33.23.954 COLOR_TaxiwayBorder ; Inner island
N055.31.26.984 E008.33.23.954 N055.31.26.846 E008.33.23.597 COLOR_TaxiwayBorder ; Inner island
N055.31.26.846 E008.33.23.597 N055.31.26.764 E008.33.23.126 COLOR_TaxiwayBorder ; Inner island
N055.31.26.764 E008.33.23.126 N055.31.25.748 E008.33.13.967 COLOR_TaxiwayBorder ; Inner island
N055.31.25.748 E008.33.13.967 N055.31.26.901 E008.33.14.293 COLOR_TaxiwayBorder ; Inner island
N055.31.26.901 E008.33.14.293 N055.31.27.080 E008.33.15.948 COLOR_TaxiwayBorder ; Inner island
N055.31.27.080 E008.33.15.948 N055.31.27.808 E008.33.15.659 COLOR_TaxiwayBorder ; Inner island
N055.31.27.808 E008.33.15.659 N055.31.27.409 E008.33.11.845 COLOR_TaxiwayBorder ; Inner island
N055.31.27.409 E008.33.11.845 N055.31.26.654 E008.33.12.061 COLOR_TaxiwayBorder ; Inner island
N055.31.26.654 E008.33.12.061 N055.31.26.833 E008.33.13.428 COLOR_TaxiwayBorder ; Inner island
N055.31.26.833 E008.33.13.428 N055.31.25.679 E008.33.13.067 COLOR_TaxiwayBorder ; Inner island
N055.31.25.679 E008.33.13.067 N055.31.23.990 E008.32.57.336 COLOR_TaxiwayBorder ; Inner island
N055.31.23.990 E008.32.57.336 N055.31.24.017 E008.32.55.643 COLOR_TaxiwayBorder ; Inner island
N055.31.24.017 E008.32.55.643 N055.31.24.100 E008.32.55.249 COLOR_TaxiwayBorder ; Inner island
N055.31.24.100 E008.32.55.249 N055.31.24.526 E008.32.54.778 COLOR_TaxiwayBorder ; Inner island
N055.31.24.526 E008.32.54.778 N055.31.29.456 E008.32.53.196 COLOR_TaxiwayBorder ; Inner island
N055.31.29.456 E008.32.53.196 N055.31.30.211 E008.32.53.196 COLOR_TaxiwayBorder ; Inner island
N055.31.30.211 E008.32.53.196 N055.31.30.678 E008.32.53.879 COLOR_TaxiwayBorder ; Inner island
N055.31.30.678 E008.32.53.879 N055.31.30.778 E008.32.54.383 COLOR_TaxiwayBorder ; Inner island west
N055.31.30.778 E008.32.54.383 N055.31.34.821 E008.33.32.880 COLOR_TaxiwayBorder
;
;
N055.31.35.114 E008.33.35.672 N055.31.34.757 E008.33.34.525 COLOR_TaxiwayBorder ; outer east
N055.31.34.757 E008.33.34.525 N055.31.27.327 E008.33.25.492 COLOR_TaxiwayBorder ; outer
N055.31.27.327 E008.33.25.492 N055.31.27.203 E008.33.25.461 COLOR_TaxiwayBorder ; outer
N055.31.27.203 E008.33.25.461 N055.31.27.107 E008.33.25.537 COLOR_TaxiwayBorder ; outer
N055.31.27.107 E008.33.25.537 N055.31.27.052 E008.33.25.760 COLOR_TaxiwayBorder ; outer
N055.31.27.052 E008.33.25.760 N055.31.27.080 E008.33.26.388 COLOR_TaxiwayBorder ; outer
N055.31.27.080 E008.33.26.388 N055.31.26.874 E008.33.26.711 COLOR_TaxiwayBorder ; outer
N055.31.26.874 E008.33.26.711 N055.31.26.943 E008.33.27.037 COLOR_TaxiwayBorder ; outer
N055.31.26.943 E008.33.27.037 N055.31.26.682 E008.33.27.143 COLOR_TaxiwayBorder ; outer
N055.31.26.682 E008.33.27.143 N055.31.26.613 E008.33.26.711 COLOR_TaxiwayBorder ; outer
