;>>>>> Roenne Airport  <<<<<
N055.04.00.119 E014.44.42.253 N055.03.34.906 E014.46.22.332 COLOR_TaxiwayBorder ;
N055.03.36.197 E014.46.23.296 N055.03.58.191 E014.44.56.071 COLOR_TaxiwayBorder ;
N055.04.01.424 E014.44.43.249 N055.03.58.924 E014.44.53.164 COLOR_TaxiwayBorder ;
;
;
N055.04.00.806 E014.44.39.047 N055.03.33.189 E014.46.28.405 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.33.189 E014.46.28.405 N055.03.34.782 E014.46.29.538 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.34.782 E014.46.29.538 N055.03.46.769 E014.45.41.770 COLOR_TaxiwayBorder ; Til Grass Exit
N055.03.47.224 E014.45.39.957 N055.03.58.252 E014.44.56.014 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.58.252 E014.44.56.014 N055.03.58.430 E014.44.55.804 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.58.430 E014.44.55.804 N055.03.58.732 E014.44.55.526 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.58.732 E014.44.55.526 N055.03.58.938 E014.44.55.361 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.58.938 E014.44.55.361 N055.03.59.172 E014.44.55.217 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.59.172 E014.44.55.217 N055.03.59.405 E014.44.55.135 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.59.405 E014.44.55.135 N055.03.59.570 E014.44.55.090 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.59.570 E014.44.55.090 N055.03.59.735 E014.44.55.049 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.03.59.735 E014.44.55.049 N055.04.00.010 E014.44.55.028 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.00.010 E014.44.55.028 N055.04.03.717 E014.44.55.200 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.03.717 E014.44.55.200 N055.04.03.800 E014.44.55.217 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.03.800 E014.44.55.217 N055.04.03.882 E014.44.55.244 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.03.882 E014.44.55.244 N055.04.04.486 E014.44.55.468 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.486 E014.44.55.468 N055.04.04.665 E014.44.55.547 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.665 E014.44.55.547 N055.04.04.789 E014.44.55.626 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.789 E014.44.55.626 N055.04.04.871 E014.44.55.718 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.871 E014.44.55.718 N055.04.04.981 E014.44.55.849 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.981 E014.44.55.849 N055.04.05.063 E014.44.56.000 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.063 E014.44.56.000 N055.04.05.146 E014.44.56.189 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.146 E014.44.56.189 N055.04.05.214 E014.44.56.429 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.214 E014.44.56.429 N055.04.05.256 E014.44.56.669 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.256 E014.44.56.669 N055.04.05.269 E014.44.56.961 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.269 E014.44.56.961 N055.04.05.256 E014.44.57.181 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.256 E014.44.57.181 N055.04.05.242 E014.44.57.349 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.242 E014.44.57.349 N055.04.05.008 E014.44.58.736 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.008 E014.44.58.736 N055.04.04.885 E014.44.59.279 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.04.885 E014.44.59.279 N055.04.04.967 E014.44.59.343 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.05.573 E014.44.59.818 N055.04.07.796 E014.45.01.538 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.07.796 E014.45.01.538 N055.04.09.568 E014.44.54.427 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.09.568 E014.44.54.427 N055.04.08.977 E014.44.53.950 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.08.977 E014.44.53.950 N055.04.09.485 E014.44.51.904 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.09.485 E014.44.51.904 N055.04.13.001 E014.44.54.565 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.001 E014.44.54.565 N055.04.12.946 E014.44.54.805 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.946 E014.44.54.805 N055.04.14.017 E014.44.55.660 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.14.017 E014.44.55.660 N055.04.13.990 E014.44.55.801 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.990 E014.44.55.801 N055.04.14.196 E014.44.55.959 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.14.196 E014.44.55.959 N055.04.14.498 E014.44.54.778 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.14.498 E014.44.54.778 N055.04.13.193 E014.44.53.772 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.193 E014.44.53.772 N055.04.13.125 E014.44.54.029 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.125 E014.44.54.029 N055.04.12.534 E014.44.53.576 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.534 E014.44.53.576 N055.04.13.166 E014.44.51.107 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.166 E014.44.51.107 N055.04.13.256 E014.44.51.171 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.332 E014.44.50.886 N055.04.13.234 E014.44.50.802 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.234 E014.44.50.802 N055.04.13.784 E014.44.48.697 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.784 E014.44.48.697 N055.04.14.484 E014.44.48.265 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.14.484 E014.44.48.265 N055.04.14.525 E014.44.48.083 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.14.525 E014.44.48.083 N055.04.13.482 E014.44.47.262 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.482 E014.44.47.262 N055.04.13.715 E014.44.46.370 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.715 E014.44.46.370 N055.04.13.536 E014.44.46.239 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.536 E014.44.46.239 N055.04.13.303 E014.44.47.159 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.303 E014.44.47.159 N055.04.13.070 E014.44.46.984 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.070 E014.44.46.984 N055.04.13.152 E014.44.47.908 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.152 E014.44.47.908 N055.04.13.276 E014.44.47.997 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.276 E014.44.47.997 N055.04.13.427 E014.44.48.625 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.427 E014.44.48.625 N055.04.13.152 E014.44.49.617 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.13.152 E014.44.49.617 N055.04.12.836 E014.44.49.820 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.836 E014.44.49.820 N055.04.12.438 E014.44.49.487 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.438 E014.44.49.487 N055.04.11.930 E014.44.51.612 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.11.930 E014.44.51.612 N055.04.12.328 E014.44.51.894 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.328 E014.44.51.894 N055.04.12.465 E014.44.52.474 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.465 E014.44.52.474 N055.04.12.355 E014.44.52.910 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.355 E014.44.52.910 N055.04.12.314 E014.44.52.982 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.314 E014.44.52.982 N055.04.12.259 E014.44.53.020 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.259 E014.44.53.020 N055.04.12.095 E014.44.53.126 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.095 E014.44.53.126 N055.04.12.040 E014.44.53.133 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.12.040 E014.44.53.133 N055.04.11.998 E014.44.53.123 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.11.998 E014.44.53.123 N055.04.09.101 E014.44.50.974 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.09.101 E014.44.50.974 N055.04.09.018 E014.44.50.888 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.09.018 E014.44.50.888 N055.04.08.936 E014.44.50.795 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.08.936 E014.44.50.795 N055.04.08.867 E014.44.50.685 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.08.867 E014.44.50.685 N055.04.08.812 E014.44.50.562 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.08.812 E014.44.50.562 N055.04.08.785 E014.44.50.431 COLOR_TaxiwayBorder ; Apron + RWY ¤
N055.04.08.785 E014.44.50.431 N055.04.08.757 E014.44.50.311 COLOR_TaxiwayBorder ; Apron + RWY ¤
