N057.05.13.426 E009.50.47.071 N057.05.12.025 E009.50.51.054 COLOR_TaxiwayBorder ; Lowest RWY04
N057.05.12.025 E009.50.51.054 N057.05.18.411 E009.50.58.356 COLOR_TaxiwayBorder ; Lowest RWY04
N057.05.18.411 E009.50.58.356 N057.05.18.768 E009.50.53.121 COLOR_TaxiwayBorder ; Lowest RWY04
N057.05.18.768 E009.50.53.121 N057.05.13.426 E009.50.47.071 COLOR_TaxiwayBorder ; Lowest RWY04
;
;
;N057.05.36.607 E009.50.00.273 N057.05.38.090 E009.49.59.988 COLOR_TaxiwayBorder ; THRs 08L E
N057.05.38.090 E009.49.59.988 N057.05.37.060 E009.49.43.931 COLOR_TaxiwayBorder ; THRs 08L N
N057.05.37.060 E009.49.43.931 N057.05.35.591 E009.49.44.243 COLOR_TaxiwayBorder ; THRs 08L W
N057.05.35.591 E009.49.44.243 N057.05.36.607 E009.50.00.273 COLOR_TaxiwayBorder ; THRs 08L S
;
;
; N057.05.48.170 E009.52.36.571 N057.05.46.701 E009.52.36.911  COLOR_TaxiwayBorder ; THR 26R
N057.05.46.701 E009.52.36.911 N057.05.47.593 E009.52.50.019 COLOR_TaxiwayBorder ; THR 26R S
N057.05.47.593 E009.52.50.019 N057.05.48.980 E009.52.49.655 COLOR_TaxiwayBorder ; THR 26R E
N057.05.48.980 E009.52.49.655 N057.05.48.170 E009.52.36.571 COLOR_TaxiwayBorder ; THR 26R N
;
;
;N057.05.48.170 E009.52.36.571 N057.05.38.090 E009.49.59.988 COLOR_TaxiwayBorder ; 26R/08L N
;N057.05.38.090 E009.49.59.988 N057.05.36.607 E009.50.00.273 COLOR_TaxiwayBorder ; 26R/08L W
;N057.05.36.607 E009.50.00.273 N057.05.46.701 E009.52.36.911 COLOR_TaxiwayBorder ; 26R/08L S
;N057.05.46.701 E009.52.36.911 N057.05.48.170 E009.52.36.571 COLOR_TaxiwayBorder ; 26R/08L E
;
;
;N057.05.40.933 E009.52.38.325 N057.05.31.210 E009.50.07.936 COLOR_TaxiwayBorder ; 08R/26L
;N057.05.31.210 E009.50.07.936 N057.05.30.496 E009.50.08.139 COLOR_TaxiwayBorder ; 08R/26L W
;N057.05.30.496 E009.50.08.139 N057.05.40.177 E009.52.38.493 COLOR_TaxiwayBorder ; 08R/26L
;N057.05.40.177 E009.52.38.493 N057.05.40.933 E009.52.38.325 COLOR_TaxiwayBorder ; 08R/26L
N057.05.36.123 E009.51.35.535 N057.05.37.907 E009.52.03.244 COLOR_TaxiwayBorder ; from C to MIL
;
;
N057.05.46.495 E009.52.33.721 N057.05.46.440 E009.52.34.607 COLOR_TaxiwayBorder ; Island AB
N057.05.46.440 E009.52.34.607 N057.05.46.275 E009.52.35.359 COLOR_TaxiwayBorder ; Island AB
N057.05.46.275 E009.52.35.359 N057.05.46.069 E009.52.35.973 COLOR_TaxiwayBorder ; Island AB
N057.05.46.069 E009.52.35.973 N057.05.45.767 E009.52.36.543 COLOR_TaxiwayBorder ; Island AB
N057.05.45.767 E009.52.36.543 N057.05.45.437 E009.52.37.003 COLOR_TaxiwayBorder ; Island AB
N057.05.45.437 E009.52.37.003 N057.05.45.108 E009.52.37.371 COLOR_TaxiwayBorder ; Island AB
N057.05.45.108 E009.52.37.371 N057.05.44.668 E009.52.37.700 COLOR_TaxiwayBorder ; Island AB
N057.05.44.668 E009.52.37.700 N057.05.44.311 E009.52.37.910 COLOR_TaxiwayBorder ; Island AB
N057.05.44.311 E009.52.37.910 N057.05.43.830 E009.52.38.081 COLOR_TaxiwayBorder ; Island AB
