N056.18.38.092:E009.07.12.463 1
N056.18.40.413:E009.07.10.238 2
N056.18.39.960:E009.07.06.142 3
N056.18.39.534:E009.07.03.783 4
N056.18.37.007:E009.07.08.892 5
N056.18.11.574:E009.05.26.366 MIL
N056.18.24.318:E009.06.43.177 MIL
N056.18.14.554:E009.07.12.772 MIL
N056.17.35.717:E009.07.25.141 MIL
N056.18.10.351:E009.04.42.832 MIL
N056.17.52.705:E009.04.38.905 W
N056.17.41.842:E009.04.44.336 W
N056.17.42.844:E009.05.05.622 X
N056.17.53.419:E009.05.05.584 X
N056.17.37.928:E009.05.39.439 S
N056.17.36.500:E009.06.38.577 S
N056.17.40.661:E009.07.24.290 S
N056.17.54.998:E009.07.36.090 E 
N056.18.07.083:E009.07.32.327 E
N056.18.20.679:E009.07.20.912 E
N056.18.33.807:E009.07.06.770 E
N056.18.23.123:E009.06.58.774 P
N056.17.53.446:E009.07.29.388 E1
N056.17.58.170:E009.07.44.419 27R
N056.17.50.645:E009.07.45.538 27L
N056.17.49.299:E009.04.17.804 09R
N056.17.56.646:E009.04.23.699 09L
N056.17.53.364:E009.06.19.244 03
N056.18.18.674:E009.06.49.450 21
N056.17.53.570:E009.07.16.253 32
N056.18.10.681:E009.06.45.086 14
N056.17.41.608:E009.06.11.447 09
N056.17.41.553:E009.07.02.156 27
