N057.05.43.800:E009.52.36.700 A
N057.05.41.500:E009.52.01.500 B
N057.05.38.500:E009.51.25.700 C
N057.05.23.700:E009.51.51.000 C
N057.05.36.300:E009.50.42.000 D
N057.05.34.000:E009.50.06.000 E
N057.05.40.900:E009.49.57.400 F
N057.05.43.600:E009.50.31.700 G
N057.05.51.900:E009.50.19.000 G
N057.05.47.000:E009.51.24.000 H
N057.05.49.500:E009.52.04.000 J
N057.05.51.300:E009.52.37.000 K
N057.05.44.700:E009.50.11.600 N
N057.05.47.300:E009.50.52.400 N
N057.05.51.100:E009.51.50.700 N
N057.05.53.300:E009.52.26.100 N
N057.05.07.891:E009.52.19.615 1
N057.05.09.278:E009.52.17.739 2
N057.05.10.290:E009.52.15.985 3
N057.05.11.400:E009.52.14.579 4
N057.05.12.526:E009.52.13.153 5
N057.05.13.643:E009.52.11.730 6
N057.05.14.764:E009.52.10.317 7
N057.05.15.982:E009.52.08.916 8
N057.05.06.498:E009.52.13.800 10
N057.06.08.000:E009.50.21.700 SAR ONLY
N057.05.48.200:E009.52.51.000 26R
N057.05.41.000:E009.52.48.100 26L
N057.05.29.500:E009.49.53.000 08R
N057.05.35.500:E009.49.39.000 08L
